time,events,wearable,soc,cvip,cpu,gpu,5v_sys,nvme_pwr1,nvme_pwr3,nvme_pwr2,wlan,vddp_run,vddp_s5,LPDDR_PWR,PROC_TOT_PWR,THERM_TOT_PWR,THERM_TOT_PWR-throttle,Tboard_soc1tmp,Tdiode_soc1tmp,battery,chrgr,ddr1,ddr2,mem,mero2,vrm,run_number,time_delta
13.204,,5051000.0,928000.0,1330000.0,717000.0,1277000.0,5729000.0,20000.0,14000.0,11000.0,291000.0,68000.0,63000.0,2499000.0,4540000.0,7039000.0,25000000.0,111.2,107.6,88.16,104.7866,110.525,108.8366,101.975,110.6366,107.825,1.0,0 days 00:00:13.204000
13.404,,4874000.0,907000.0,1378000.0,634000.0,865000.0,5701000.0,30000.0,11000.0,11000.0,271000.0,74000.0,63000.0,2522000.0,3586000.0,6108000.0,25000000.0,111.2,107.6,88.16,104.7866,110.525,108.8366,101.975,110.6366,107.825,1.0,0 days 00:00:13.404000
13.604,,4874000.0,968000.0,1330000.0,635000.0,2722000.0,5701000.0,20000.0,11000.0,11000.0,271000.0,72000.0,63000.0,2513000.0,3620000.0,6133000.0,25000000.0,111.2,107.6,88.16,104.7866,110.525,108.8366,101.975,110.6366,107.825,1.0,0 days 00:00:13.604000
13.804,,4874000.0,1008000.0,1330000.0,949000.0,105000.0,5701000.0,20000.0,30000.0,7000.0,236000.0,72000.0,65000.0,2504000.0,3468000.0,5972000.0,25000000.0,111.2,107.6,88.16,104.7866,110.525,108.8366,101.975,110.6366,107.825,1.0,0 days 00:00:13.804000
14.003,,5005000.0,955000.0,1805000.0,1071000.0,105000.0,5681000.0,20000.0,30000.0,4000.0,236000.0,70000.0,65000.0,2428000.0,4517000.0,6945000.0,25000000.0,111.2,107.6,88.16,104.7866,110.525,108.8366,101.975,110.6366,107.825,1.0,0 days 00:00:14.003000
14.203,,5005000.0,935000.0,1971000.0,1078000.0,105000.0,5681000.0,20000.0,30000.0,11000.0,236000.0,68000.0,65000.0,2398000.0,4414000.0,6812000.0,25000000.0,111.2,107.6,88.34,104.9,110.75,109.0616,102.0866,110.8616,108.05,1.0,0 days 00:00:14.203000
14.404,,5005000.0,1016000.0,1387000.0,1208000.0,105000.0,5681000.0,20000.0,30000.0,7000.0,274000.0,68000.0,63000.0,2409000.0,4822000.0,7231000.0,25000000.0,111.2,108.05,88.34,104.9,110.75,109.0616,102.0866,110.8616,108.05,1.0,0 days 00:00:14.404000
14.604,,5298000.0,874000.0,1900000.0,1113000.0,105000.0,5772000.0,10000.0,30000.0,7000.0,274000.0,68000.0,65000.0,2313000.0,4045000.0,6358000.0,25000000.0,111.2,107.6,88.34,104.9,110.75,109.0616,102.0866,110.8616,108.05,1.0,0 days 00:00:14.604000
14.803,,5298000.0,935000.0,1663000.0,1071000.0,105000.0,5772000.0,10000.0,30000.0,11000.0,274000.0,68000.0,65000.0,2278000.0,4261000.0,6539000.0,25000000.0,111.2,107.6,88.34,104.9,110.75,109.0616,102.0866,110.8616,108.05,1.0,0 days 00:00:14.803000
15.004,,5298000.0,874000.0,1401000.0,1593000.0,314000.0,5772000.0,20000.0,30000.0,11000.0,287000.0,68000.0,63000.0,2263000.0,6848000.0,9111000.0,25000000.0,111.2,107.6,88.34,104.9,110.75,109.0616,102.0866,110.8616,108.05,1.0,0 days 00:00:15.004000
15.204,,5148000.0,968000.0,1306000.0,1134000.0,105000.0,5804000.0,20000.0,30000.0,11000.0,287000.0,68000.0,63000.0,2159000.0,3859000.0,6018000.0,25000000.0,111.2,107.6,88.16,105.0116,110.75,109.175,102.2,110.8616,108.05,1.0,0 days 00:00:15.204000
15.403,,5148000.0,853000.0,1710000.0,1156000.0,105000.0,5804000.0,30000.0,14000.0,11000.0,287000.0,68000.0,63000.0,2187000.0,3904000.0,6091000.0,25000000.0,111.2,107.6,88.16,105.0116,110.75,109.175,102.2,110.8616,108.05,1.0,0 days 00:00:15.403000
15.604,,5148000.0,914000.0,1520000.0,1349000.0,105000.0,5804000.0,20000.0,14000.0,11000.0,292000.0,74000.0,63000.0,2462000.0,7935000.0,10397000.0,25000000.0,111.2,107.6,88.16,105.0116,110.75,109.175,102.2,110.8616,108.05,1.0,0 days 00:00:15.604000
15.804,,5100000.0,860000.0,1449000.0,1955000.0,105000.0,5845000.0,30000.0,14000.0,11000.0,292000.0,68000.0,65000.0,2413000.0,3957000.0,6370000.0,25000000.0,111.2,107.6,88.16,105.0116,110.75,109.175,102.2,110.8616,108.05,1.0,0 days 00:00:15.804000
16.003,,5100000.0,839000.0,1496000.0,1819000.0,333000.0,5845000.0,20000.0,14000.0,11000.0,292000.0,81000.0,65000.0,2357000.0,5283000.0,7640000.0,25000000.0,111.2,107.6,88.16,105.0116,110.75,109.175,102.2,110.8616,108.05,1.0,0 days 00:00:16.003000
